"weight","word"
"0", "Virtue"
"0", "Wisdom"
"1", "Connection"
"1", "Understanding"
"2", "Loving-kindness"
"2", "Equanimity"
"3", "Gratitude"
"3", "Acceptance"
"3", "Curiosity"
"3", "Openness"
"4", "Compassion"
"4", "Care"
"4", "Open-mindedness"
"5", "Mindfulness"
"6", "Harmony"
"6", "Generosity"
"6", "Peace"
"6", "Serenity"
"6", "Tranquility"
"7", "Calmness"
"7", "Empathy"
"7", "Altruism"
"7", "Resilience"
"7", "Presence"
"7", "Attention"
"7", "Awareness"
"7", "Insight"
"7", "Appreciation"
"7", "Love"
"7", "Kindness"
"9", "Benevolence"
"9", "Attunement"
"9", "Receptivity"
"9", "Observation"
"9", "Intrigue"
"9", "Engagement"
"9", "Humility"
"9", "Respect"
"9", "Fondness"
"10", "Objectivity"
"10", "Interest"
"10", "Clarity"
"10", "Rationality"
"10", "Supportiveness"
"10", "Magnanimity"
"10", "Trust"
"10", "Reflection"
"11", "Logic"
"11", "Charitability"
"11", "Interconnectedness"
"11", "Introspection"
"11", "Exploration"
"11", "Fascination"
"11", "Balance"
"11", "Encouragement"
"11", "Affirmation"
"11", "Joy"
"12", "Honesty"
"12", "Intentionality"
"12", "Examination"
"12", "Authenticity"
"12", "Integrity"
"12", "Forgiveness"
"12", "Concentration"
"12", "Inquisitiveness"
"12", "Enthusiasm"
"12", "Thankfulness"
"12", "Consideration"
"12", "Perception"
"12", "Positivity"
"12", "Playfulness"
"12", "Humor"
"12", "Reliability"
"12", "Immersion"
"12", "Responsiveness"
"12", "Communication"
"12", "Expression"
"12", "Fairness"
"12", "Stability"
"12", "Celebration"
"12", "Creativity"
"12", "Evenness"
"12", "Steadiness"
"12", "Thoughtfulness"
"12", "Focus"
"12", "Ease"
"12", "Adaptability"
"12", "Flexibility"
"12", "Regulation"
"12", "Delight"
"12", "Warmth"
"12", "Genuineness"
"12", "Patience"
"12", "Discernment"
"12", "Sincerity"
"12", "Courtesy"
"12", "Tact"
"12", "Zest"
"12", "Gentleness"
"12", "Friendliness"
"12", "Cheerfulness"
"12", "Contemplation"
"12", "Contentment"
"12", "Excitement"
"12", "Helpfulness"
"12", "Hospitality"
"12", "Inspiration"
"13", "Dependability"
"13", "Earnestness"
"13", "Thoroughness"
"13", "Temperance"
"14", "Ambition"
"14", "Collaboration"
"14", "Cooperation"
"14", "Concern"
"14", "Coherence"
"14", "Inclusivity"
"14", "Prudence"
"14", "Motivation"
"14", "Drive"
"14", "Confidence"
"14", "Courage"
"14", "Bravery"
"14", "Strength"
"14", "Diligence"
"14", "Happiness"
"14", "Nurturance"
"14", "Optimism"
"14", "Levity"
"14", "Enjoyment"
